
# Relic enchants:


## AOE_damage_bonus_to_spells:
```
carthean_sword (godlike)
carthean_sword_a_Stealth_melee_weapon (ancient)
carthean_sword_b_BIG_weapons_assassin_First_attack_bonus_in_surprise (biggodlike)
death_cult_blade (godlike)
death_cult_blade_a_Stealth_melee_weapon (ancient)
death_cult_blade_b_BIG_weapons_assassin_First_attack_bonus_in_surprise (biggodlike)
exitus_rifle (godlike)
exitus_rifle_b_BIG_weapons_assassin_First_attack_bonus_in_surprise (biggodlike)
longlas_rifle (godlike)
longlas_rifle_b_BIG_weapons_assassin_First_attack_bonus_in_surprise (biggodlike)
needler_sniper_rifle (godlike)
needler_sniper_rifle_b_BIG_weapons_assassin_First_attack_bonus_in_surprise (biggodlike)
null_rod (godlike)
null_rod_a_Stealth_melee_weapon (ancient)
null_rod_b_BIG_weapons_assassin_First_attack_bonus_in_surprise (biggodlike)
sniper_rifle (godlike)
sniper_rifle_b_BIG_weapons_assassin_First_attack_bonus_in_surprise (biggodlike)
```


## Godlike_All_resist_in_Exposed:
```
aetherwalker_armour_a_Exposed_armour (ancient)
assault_armor_a_Exposed_armour (ancient)
demolition_armor_a_Exposed_armour (ancient)
empyrean_armour_a_Exposed_armour (ancient)
fabricator_distortion_armour_a_Exposed_armour (ancient)
hololithic_armour_a_Exposed_armour (ancient)
neural_implant (godlike)
sentinel_armor_a_Exposed_armour (ancient)
stealth_bodysuit_a_Exposed_armour (ancient)
warpbound_armour_a_Exposed_armour (ancient)
```


## Godlike_Assassin_dodge_cheat_in_threat:
```
purity_seal_b_BIG_purity_seal_Godlike_Assassin_dodge_cheat_in_threat (biggodlike)
signum_b_BIG_signum_Godlike_Assassin_dodge_cheat_in_threat (biggodlike)
```


## Godlike_Berserk_from_large_damage:
```
arc_blade_a_Berserk_weapon (ancient)
arc_rifle_1skill_a_Berserk_weapon (ancient)
arc_rifle_2skill_a_Berserk_weapon (ancient)
arc_sword_a_Berserk_weapon (ancient)
assassin_power_sword_a_Berserk_weapon (ancient)
autogun_a_Berserk_weapon (ancient)
autopistol_a_Berserk_weapon (ancient)
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
bolt_pistol_a_Berserk_weapon (ancient)
boltgun_a_Berserk_weapon (ancient)
carthean_sword_a_Berserk_weapon (ancient)
chainsword_a_Berserk_weapon (ancient)
death_cult_blade_a_Berserk_weapon (ancient)
eviscerator_a_Berserk_weapon (ancient)
exitus_rifle_a_Berserk_weapon (ancient)
force_rod_2_a_Berserk_weapon (ancient)
force_rod_3_a_Berserk_weapon (ancient)
force_rod_a_Berserk_weapon (ancient)
force_staff_2_a_Berserk_weapon (ancient)
force_staff_3_a_Berserk_weapon (ancient)
force_staff_a_Berserk_weapon (ancient)
force_sword_2_a_Berserk_weapon (ancient)
force_sword_3_a_Berserk_weapon (ancient)
force_sword_a_Berserk_weapon (ancient)
grav_gun_a_Berserk_weapon (ancient)
grav_pistol_a_Berserk_weapon (ancient)
greataxe_a_Berserk_weapon (ancient)
greatsword_a_Berserk_weapon (ancient)
grenade_launcher_a_Berserk_weapon (ancient)
heavy_bolter_a_Berserk_weapon (ancient)
heavy_flamer_a_Berserk_weapon (ancient)
inferno_pistol_a_Berserk_weapon (ancient)
lasgun_a_Berserk_weapon (ancient)
laspistol_a_Berserk_weapon (ancient)
longlas_rifle_a_Berserk_weapon (ancient)
melta_gun_a_Berserk_weapon (ancient)
multi_melta_a_Berserk_weapon (ancient)
needler_sniper_rifle_a_Berserk_weapon (ancient)
null_rod_a_Berserk_weapon (ancient)
omnissian_axe_1skill_a_Berserk_weapon (ancient)
omnissian_axe_2skill_a_Berserk_weapon (ancient)
plasma_cannon_a_Berserk_weapon (ancient)
plasma_gun_a_Berserk_weapon (ancient)
plasma_pistol_a_Berserk_weapon (ancient)
power_axe_a_Berserk_weapon (ancient)
power_hammer_a_Berserk_weapon (ancient)
power_sword_a_Berserk_weapon (ancient)
radium_carbine_1skill_a_Berserk_weapon (ancient)
radium_carbine_2skill_a_Berserk_weapon (ancient)
shotgun_a_Berserk_weapon (ancient)
sniper_rifle_a_Berserk_weapon (ancient)
thunder_hammer_a_Berserk_weapon (ancient)
voltaic_axe_1skill_a_Berserk_weapon (ancient)
voltaic_axe_2skill_a_Berserk_weapon (ancient)
wardrug_basic (godlike)
```


## Godlike_Berserk_from_Massacre:
```
eye_implant_a_Berserk_eye (ancient)
main_implant (godlike)
neural_implant (godlike)
```


## Godlike_Berserk_in_Exposed:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
signum_a_Berserk_signum (ancient)
wardrug_basic (godlike)
```


## Godlike_Bleed_damage:
```
main_implant (godlike)
neural_implant (godlike)
neural_implant_a_Bleed_neural (ancient)
```


## Godlike_Bleed_damage_against_Poisoned:
```
wardrug_basic (godlike)
```


## Godlike_Bleed_duration_dot_long:
```
eye_implant (godlike)
```


## Godlike_Bleed_duration_sec:
```
main_implant_b_BIG_main_implant_Godlike_Bleed_duration_sec (biggodlike)
signum_b_BIG_signum_Godlike_Bleed_duration_sec (biggodlike)
wardrug_basic_b_BIG_inoculator_Godlike_Bleed_duration_sec (biggodlike)
```


## Godlike_Bleed_on_Crit:
```
arc_blade_a_Bleed_weapon (ancient)
arc_sword_a_Bleed_weapon (ancient)
assassin_power_sword_a_Bleed_weapon (ancient)
autogun_a_Bleed_weapon (ancient)
autopistol_a_Bleed_weapon (ancient)
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
bolt_pistol_a_Bleed_weapon (ancient)
boltgun_a_Bleed_weapon (ancient)
carthean_sword_a_Bleed_weapon (ancient)
chainsword_a_Bleed_weapon (ancient)
death_cult_blade_a_Bleed_weapon (ancient)
eviscerator_a_Bleed_weapon (ancient)
exitus_rifle_a_Bleed_weapon (ancient)
force_sword_2_a_Bleed_weapon (ancient)
force_sword_3_a_Bleed_weapon (ancient)
force_sword_a_Bleed_weapon (ancient)
grav_pistol_a_Bleed_weapon (ancient)
greataxe_a_Bleed_weapon (ancient)
greatsword_a_Bleed_weapon (ancient)
heavy_bolter_a_Bleed_weapon (ancient)
main_implant (godlike)
needler_sniper_rifle_a_Bleed_weapon (ancient)
power_axe_a_Bleed_weapon (ancient)
power_hammer_a_Bleed_weapon (ancient)
power_sword_a_Bleed_weapon (ancient)
shotgun_a_Bleed_weapon (ancient)
sniper_rifle_a_Bleed_weapon (ancient)
storm_shield_a_Bleed_weapon (ancient)
suppression_shield_a_Bleed_weapon (ancient)
```


## Godlike_Bleeding_damage_per_Physical_vulnerability:
```

```


## Godlike_Bleeding_on_Physical_Hit:
```
aetherwalker_armour_a_Bleed_armour (ancient)
assault_armor_a_Bleed_armour (ancient)
demolition_armor_a_Bleed_armour (ancient)
empyrean_armour_a_Bleed_armour (ancient)
fabricator_distortion_armour_a_Bleed_armour (ancient)
hololithic_armour_a_Bleed_armour (ancient)
sentinel_armor_a_Bleed_armour (ancient)
signum (godlike)
stealth_bodysuit_a_Bleed_armour (ancient)
warpbound_armour_a_Bleed_armour (ancient)
```


## Godlike_Bonus_Enraged_limit:
```
main_implant_a_Enrage_main_implant (ancient)
```


## Godlike_Burn_damage:
```
main_implant (godlike)
main_implant_a_Burn_main_implant (ancient)
neural_implant (godlike)
```


## Godlike_Burn_damage_per_Heat_vulnerability:
```

```


## Godlike_Burn_duration:
```
aetherwalker_armour_a_Burn_armour (ancient)
assault_armor_a_Burn_armour (ancient)
demolition_armor_a_Burn_armour (ancient)
empyrean_armour_a_Burn_armour (ancient)
exitus_rifle_a_Burn_weapon (ancient)
eye_implant (godlike)
fabricator_distortion_armour_a_Burn_armour (ancient)
force_rod_2_a_Burn_weapon (ancient)
force_rod_3_a_Burn_weapon (ancient)
force_rod_a_Burn_weapon (ancient)
force_staff_2_a_Burn_weapon (ancient)
force_staff_3_a_Burn_weapon (ancient)
force_staff_a_Burn_weapon (ancient)
force_sword_2_a_Burn_weapon (ancient)
force_sword_3_a_Burn_weapon (ancient)
force_sword_a_Burn_weapon (ancient)
grav_gun_a_Burn_weapon (ancient)
grav_pistol_a_Burn_weapon (ancient)
heavy_flamer_a_Burn_weapon (ancient)
hololithic_armour_a_Burn_armour (ancient)
inferno_pistol_a_Burn_weapon (ancient)
lasgun_a_Burn_weapon (ancient)
laspistol_a_Burn_weapon (ancient)
longlas_rifle_a_Burn_weapon (ancient)
melta_gun_a_Burn_weapon (ancient)
multi_melta_a_Burn_weapon (ancient)
plasma_cannon_a_Burn_weapon (ancient)
plasma_gun_a_Burn_weapon (ancient)
plasma_pistol_a_Burn_weapon (ancient)
sentinel_armor_a_Burn_armour (ancient)
stealth_bodysuit_a_Burn_armour (ancient)
warpbound_armour_a_Burn_armour (ancient)
```


## Godlike_Burn_on_Crit:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
main_implant (godlike)
```


## Godlike_Burn_on_Heat_Hit:
```
signum (godlike)
```


## Godlike_Chance_to_keep_Enraged:
```

```


## Godlike_Cooldown_in_Berserk:
```
eye_implant (godlike)
```


## Godlike_Cooldown_in_threat:
```
aetherwalker_armour_a_In_crowd_armour (ancient)
assault_armor_a_In_crowd_armour (ancient)
demolition_armor_a_In_crowd_armour (ancient)
electroid_shielding_a_In_crowd_armour (ancient)
empyrean_armour_a_In_crowd_armour (ancient)
fabricator_distortion_armour_a_In_crowd_armour (ancient)
hololithic_armour_a_In_crowd_armour (ancient)
necromechanic_raiment_a_In_crowd_armour (ancient)
neural_implant (godlike)
sentinel_armor_a_In_crowd_armour (ancient)
stealth_bodysuit_a_In_crowd_armour (ancient)
technomartyr_vestment_a_In_crowd_armour (ancient)
warpbound_armour_a_In_crowd_armour (ancient)
```


## Godlike_Crit_Chance_after_Struck:
```
eye_implant_a_Crithit_eye (ancient)
eye_implant_b_BIG_eye_implant_Godlike_Crit_Chance_after_Struck (biggodlike)
signum_b_BIG_signum_Godlike_Crit_Chance_after_Struck (biggodlike)
```


## Godlike_Crit_Chance_Crit_Strength_per_Berserk:
```
belt_deflector_field_generator_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_digital_weapons_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_fabricator_scatter_field_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_frag_grenade_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_fuse_delayed_grenade_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_personal_teleporter_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_personal_void_shield_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_psyker_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_refractor_field_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_remote_mine_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_rosarius_force_field_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_stun_grenade_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_stun_mine_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
belt_technomartyr_girdle_b_BIG_belts_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
main_implant_b_BIG_main_implant_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
signum_b_BIG_signum_Godlike_Crit_Chance_Crit_Strength_per_Berserk (biggodlike)
```


## Godlike_Crit_Chance_from_Reserve:
```
arc_rifle_1skill_b_BIG_weapons_techadept_Godlike_Crit_Chance_from_Reserve (biggodlike)
arc_rifle_2skill_b_BIG_weapons_techadept_Godlike_Crit_Chance_from_Reserve (biggodlike)
omnissian_axe_1skill_b_BIG_weapons_techadept_Godlike_Crit_Chance_from_Reserve (biggodlike)
omnissian_axe_2skill_b_BIG_weapons_techadept_Godlike_Crit_Chance_from_Reserve (biggodlike)
radium_carbine_1skill_b_BIG_weapons_techadept_Godlike_Crit_Chance_from_Reserve (biggodlike)
radium_carbine_2skill_b_BIG_weapons_techadept_Godlike_Crit_Chance_from_Reserve (biggodlike)
voltaic_axe_1skill_b_BIG_weapons_techadept_Godlike_Crit_Chance_from_Reserve (biggodlike)
voltaic_axe_2skill_b_BIG_weapons_techadept_Godlike_Crit_Chance_from_Reserve (biggodlike)
```


## Godlike_Crit_Chance_per_Enraged:
```
belt_deflector_field_generator_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_digital_weapons_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_fabricator_scatter_field_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_frag_grenade_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_fuse_delayed_grenade_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_personal_teleporter_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_personal_void_shield_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_psyker_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_refractor_field_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_remote_mine_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_rosarius_force_field_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_stun_grenade_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_stun_mine_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
belt_technomartyr_girdle_b_BIG_belts_Godlike_Crit_Chance_per_Enraged (biggodlike)
eye_implant_b_BIG_eye_implant_Godlike_Crit_Chance_per_Enraged (biggodlike)
signum_b_BIG_signum_Godlike_Crit_Chance_per_Enraged (biggodlike)
```


## Godlike_Crit_Strength_per_Enraged:
```
neural_implant (godlike)
```


## Godlike_Critical_damage_bonus:
```
aetherwalker_armour_a_Crithit_armour (ancient)
assault_armor_a_Crithit_armour (ancient)
demolition_armor_a_Crithit_armour (ancient)
electroid_shielding_a_Crithit_armour (ancient)
empyrean_armour_a_Crithit_armour (ancient)
fabricator_distortion_armour_a_Crithit_armour (ancient)
hololithic_armour_a_Crithit_armour (ancient)
necromechanic_raiment_a_Crithit_armour (ancient)
sentinel_armor_a_Crithit_armour (ancient)
signum (godlike)
stealth_bodysuit_a_Crithit_armour (ancient)
technomartyr_vestment_a_Crithit_armour (ancient)
warpbound_armour_a_Crithit_armour (ancient)
```


## Godlike_Damage_after_Struck:
```
eye_implant (godlike)
```


## Godlike_Damage_after_summon:
```
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
omnissian_axe_1skill (godlike)
omnissian_axe_2skill (godlike)
radium_carbine_1skill (godlike)
radium_carbine_2skill (godlike)
voltaic_axe_1skill (godlike)
voltaic_axe_2skill (godlike)
```


## Godlike_Damage_against_Afraid:
```
aetherwalker_armour_a_Fear_armour (ancient)
assault_armor_a_Fear_armour (ancient)
demolition_armor_a_Fear_armour (ancient)
electroid_shielding_a_Fear_armour (ancient)
empyrean_armour_a_Fear_armour (ancient)
fabricator_distortion_armour_a_Fear_armour (ancient)
hololithic_armour_a_Fear_armour (ancient)
necromechanic_raiment_a_Fear_armour (ancient)
sentinel_armor_a_Fear_armour (ancient)
signum (godlike)
stealth_bodysuit_a_Fear_armour (ancient)
technomartyr_vestment_a_Fear_armour (ancient)
warpbound_armour_a_Fear_armour (ancient)
```


## Godlike_Damage_against_Bleeding:
```
signum (godlike)
```


## Godlike_Damage_against_Blinded:
```
arc_blade_a_Blind_weapon (ancient)
arc_sword_a_Blind_weapon (ancient)
assassin_power_sword_a_Blind_weapon (ancient)
autogun_a_Blind_weapon (ancient)
autopistol_a_Blind_weapon (ancient)
bolt_pistol_a_Blind_weapon (ancient)
boltgun_a_Blind_weapon (ancient)
carthean_sword_a_Blind_weapon (ancient)
chainsword_a_Blind_weapon (ancient)
death_cult_blade_a_Blind_weapon (ancient)
eviscerator_a_Blind_weapon (ancient)
exitus_rifle_a_Blind_weapon (ancient)
grav_gun_a_Blind_weapon (ancient)
grav_pistol_a_Blind_weapon (ancient)
greataxe_a_Blind_weapon (ancient)
greatsword_a_Blind_weapon (ancient)
grenade_launcher_a_Blind_weapon (ancient)
heavy_bolter_a_Blind_weapon (ancient)
heavy_flamer_a_Blind_weapon (ancient)
inferno_pistol_a_Blind_weapon (ancient)
lasgun_a_Blind_weapon (ancient)
laspistol_a_Blind_weapon (ancient)
longlas_rifle_a_Blind_weapon (ancient)
main_implant (godlike)
melta_gun_a_Blind_weapon (ancient)
multi_melta_a_Blind_weapon (ancient)
needler_sniper_rifle_a_Blind_weapon (ancient)
null_rod_a_Blind_weapon (ancient)
plasma_cannon_a_Blind_weapon (ancient)
plasma_gun_a_Blind_weapon (ancient)
plasma_pistol_a_Blind_weapon (ancient)
power_axe_a_Blind_weapon (ancient)
power_hammer_a_Blind_weapon (ancient)
shotgun_a_Blind_weapon (ancient)
sniper_rifle_a_Blind_weapon (ancient)
storm_shield_a_Blind_weapon (ancient)
suppression_shield_a_Blind_weapon (ancient)
thunder_hammer_a_Blind_weapon (ancient)
```


## Godlike_Damage_against_Burning:
```
neural_implant_a_Burn_neural (ancient)
signum (godlike)
```


## Godlike_Damage_against_per_Vulnerability:
```
eye_implant_a_Vulnerability_eye (ancient)
```


## Godlike_Damage_against_Poisoned:
```
eye_implant_a_Poison_eye (ancient)
signum (godlike)
```


## Godlike_Damage_against_Shocked_Slowed:
```
purity_seal_a_Slow_Shock_purity (ancient)
signum (godlike)
```


## Godlike_Damage_against_Stunned:
```
main_implant (godlike)
neural_implant_a_Stun_neural (ancient)
```


## Godlike_Damage_for_Afraid:
```
arc_blade_a_Fear_weapon (ancient)
arc_rifle_1skill_a_Fear_weapon (ancient)
arc_rifle_2skill_a_Fear_weapon (ancient)
arc_sword_a_Fear_weapon (ancient)
assassin_power_sword_a_Fear_weapon (ancient)
autogun_a_Fear_weapon (ancient)
autopistol_a_Fear_weapon (ancient)
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
bolt_pistol_a_Fear_weapon (ancient)
boltgun_a_Fear_weapon (ancient)
carthean_sword_a_Fear_weapon (ancient)
chainsword_a_Fear_weapon (ancient)
death_cult_blade_a_Fear_weapon (ancient)
eviscerator_a_Fear_weapon (ancient)
exitus_rifle_a_Fear_weapon (ancient)
force_rod_2_a_Fear_weapon (ancient)
force_rod_3_a_Fear_weapon (ancient)
force_rod_a_Fear_weapon (ancient)
force_staff_2_a_Fear_weapon (ancient)
force_staff_3_a_Fear_weapon (ancient)
force_staff_a_Fear_weapon (ancient)
force_sword_2_a_Fear_weapon (ancient)
force_sword_3_a_Fear_weapon (ancient)
force_sword_a_Fear_weapon (ancient)
grav_gun_a_Fear_weapon (ancient)
grav_pistol_a_Fear_weapon (ancient)
greataxe_a_Fear_weapon (ancient)
greatsword_a_Fear_weapon (ancient)
grenade_launcher_a_Fear_weapon (ancient)
heavy_bolter_a_Fear_weapon (ancient)
heavy_flamer_a_Fear_weapon (ancient)
inferno_pistol_a_Fear_weapon (ancient)
lasgun_a_Fear_weapon (ancient)
laspistol_a_Fear_weapon (ancient)
longlas_rifle_a_Fear_weapon (ancient)
melta_gun_a_Fear_weapon (ancient)
multi_melta_a_Fear_weapon (ancient)
needler_sniper_rifle_a_Fear_weapon (ancient)
null_rod_a_Fear_weapon (ancient)
omnissian_axe_1skill_a_Fear_weapon (ancient)
omnissian_axe_2skill_a_Fear_weapon (ancient)
plasma_cannon_a_Fear_weapon (ancient)
plasma_gun_a_Fear_weapon (ancient)
plasma_pistol_a_Fear_weapon (ancient)
power_axe_a_Fear_weapon (ancient)
power_hammer_a_Fear_weapon (ancient)
power_sword_a_Fear_weapon (ancient)
radium_carbine_1skill_a_Fear_weapon (ancient)
radium_carbine_2skill_a_Fear_weapon (ancient)
shotgun_a_Fear_weapon (ancient)
sniper_rifle_a_Fear_weapon (ancient)
thunder_hammer_a_Fear_weapon (ancient)
voltaic_axe_1skill_a_Fear_weapon (ancient)
voltaic_axe_2skill_a_Fear_weapon (ancient)
```


## Godlike_Damage_for_aimed_in_Focused:
```
autogun_a_Focused_weapon_Crus_Assa (ancient)
boltgun_a_Focused_weapon_Crus_Assa (ancient)
exitus_rifle_a_Focused_weapon_Crus_Assa (ancient)
eye_implant_b_BIG_eye_implant_Godlike_Damage_for_aimed_in_Focused (biggodlike)
lasgun_a_Focused_weapon_Crus_Assa (ancient)
longlas_rifle_a_Focused_weapon_Crus_Assa (ancient)
needler_sniper_rifle_a_Focused_weapon_Crus_Assa (ancient)
neural_implant_b_BIG_neural_implant_Godlike_Damage_for_aimed_in_Focused (biggodlike)
signum_b_BIG_signum_Godlike_Damage_for_aimed_in_Focused (biggodlike)
sniper_rifle_a_Focused_weapon_Crus_Assa (ancient)
```


## Godlike_Damage_for_summoned:
```
electroid_shielding (godlike)
necromechanic_raiment (godlike)
technomartyr_vestment (godlike)
```


## Godlike_Damage_from_reserve:
```
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
omnissian_axe_1skill (godlike)
omnissian_axe_2skill (godlike)
radium_carbine_1skill (godlike)
radium_carbine_2skill (godlike)
voltaic_axe_1skill (godlike)
voltaic_axe_2skill (godlike)
```


## Godlike_Damage_in_Enraged:
```
signum (godlike)
```


## Godlike_Damage_in_Exposed:
```
arc_blade_a_Exposed_weapon (ancient)
arc_sword_a_Exposed_weapon (ancient)
assassin_power_sword_a_Exposed_weapon (ancient)
autogun_a_Exposed_weapon (ancient)
belt_deflector_field_generator_a_Exposed_belt_Crus_Assa (ancient)
belt_digital_weapons_a_Exposed_belt_Crus_Assa (ancient)
belt_fabricator_scatter_field_a_Exposed_belt_Crus_Assa (ancient)
belt_frag_grenade_a_Exposed_belt_Crus_Assa (ancient)
belt_fuse_delayed_grenade_a_Exposed_belt_Crus_Assa (ancient)
belt_personal_teleporter_a_Exposed_belt_Crus_Assa (ancient)
belt_personal_void_shield_a_Exposed_belt_Crus_Assa (ancient)
belt_refractor_field_a_Exposed_belt_Crus_Assa (ancient)
belt_remote_mine_a_Exposed_belt_Crus_Assa (ancient)
belt_stun_grenade_a_Exposed_belt_Crus_Assa (ancient)
belt_stun_mine_a_Exposed_belt_Crus_Assa (ancient)
boltgun_a_Exposed_weapon (ancient)
carthean_sword_a_Exposed_weapon (ancient)
chainsword_a_Exposed_weapon (ancient)
death_cult_blade_a_Exposed_weapon (ancient)
eviscerator_a_Exposed_weapon (ancient)
force_sword_2_a_Exposed_weapon (ancient)
force_sword_3_a_Exposed_weapon (ancient)
force_sword_a_Exposed_weapon (ancient)
grav_gun_a_Exposed_weapon (ancient)
greataxe_a_Exposed_weapon (ancient)
greatsword_a_Exposed_weapon (ancient)
grenade_launcher_a_Exposed_weapon (ancient)
heavy_bolter_a_Exposed_weapon (ancient)
heavy_flamer_a_Exposed_weapon (ancient)
lasgun_a_Exposed_weapon (ancient)
melta_gun_a_Exposed_weapon (ancient)
multi_melta_a_Exposed_weapon (ancient)
null_rod_a_Exposed_weapon (ancient)
omnissian_axe_1skill_a_Exposed_weapon (ancient)
omnissian_axe_2skill_a_Exposed_weapon (ancient)
plasma_cannon_a_Exposed_weapon (ancient)
plasma_gun_a_Exposed_weapon (ancient)
power_axe_a_Exposed_weapon (ancient)
power_hammer_a_Exposed_weapon (ancient)
power_sword_a_Exposed_weapon (ancient)
shotgun_a_Exposed_weapon (ancient)
signum (godlike)
thunder_hammer_a_Exposed_weapon (ancient)
voltaic_axe_1skill_a_Exposed_weapon (ancient)
voltaic_axe_2skill_a_Exposed_weapon (ancient)
```


## Godlike_Damage_in_Focused:
```
signum (godlike)
signum_a_Focused_signum (ancient)
```


## Godlike_Damage_in_green:
```
arc_blade_a_Green_suppression_weapon (ancient)
arc_rifle_1skill_a_Green_suppression_weapon (ancient)
arc_rifle_2skill_a_Green_suppression_weapon (ancient)
arc_sword_a_Green_suppression_weapon (ancient)
assassin_power_sword_a_Green_suppression_weapon (ancient)
autogun_a_Green_suppression_weapon (ancient)
autopistol_a_Green_suppression_weapon (ancient)
bolt_pistol_a_Green_suppression_weapon (ancient)
boltgun_a_Green_suppression_weapon (ancient)
carthean_sword_a_Green_suppression_weapon (ancient)
chainsword_a_Green_suppression_weapon (ancient)
death_cult_blade_a_Green_suppression_weapon (ancient)
eviscerator_a_Green_suppression_weapon (ancient)
exitus_rifle_a_Green_suppression_weapon (ancient)
force_rod_2_a_Green_suppression_weapon (ancient)
force_rod_3_a_Green_suppression_weapon (ancient)
force_rod_a_Green_suppression_weapon (ancient)
force_staff_2_a_Green_suppression_weapon (ancient)
force_staff_3_a_Green_suppression_weapon (ancient)
force_staff_a_Green_suppression_weapon (ancient)
grav_gun_a_Green_suppression_weapon (ancient)
grav_pistol_a_Green_suppression_weapon (ancient)
greataxe_a_Green_suppression_weapon (ancient)
greatsword_a_Green_suppression_weapon (ancient)
grenade_launcher_a_Green_suppression_weapon (ancient)
heavy_bolter_a_Green_suppression_weapon (ancient)
heavy_flamer_a_Green_suppression_weapon (ancient)
inferno_pistol_a_Green_suppression_weapon (ancient)
lasgun_a_Green_suppression_weapon (ancient)
laspistol_a_Green_suppression_weapon (ancient)
longlas_rifle_a_Green_suppression_weapon (ancient)
melta_gun_a_Green_suppression_weapon (ancient)
